ID;name;logo;wins;draws;loses;scored;conceded
d2696b36-3413-4522-a73b-f00560dc3fe5;AC Pajace;https://e7.pngegg.com/pngimages/710/859/png-clipart-logo-football-team-football-logo-design-free-logo-design-template-label-thumbnail.png;0;0;0;0;0
3ca47b3e-eff3-430e-9ae0-1937dd094212;Ślomsk;https://p7.hiclipart.com/preview/37/122/471/major-league-baseball-logo-football-team-three-stars-football-team-logo.jpg;0;0;0;0;0
b85cf0b8-2ff3-40a7-af20-52fa024fbce6;FC Kiepce;https://d1csarkz8obe9u.cloudfront.net/posterpreviews/football-logo-png-design-template-9166ba830f32032d1292400cf7d39425_screen.jpg?ts=1653168030;0;0;0;0;0
b5c6bc42-6f95-4876-9658-13aaecb28008;VFL Großschirmaschwestern;https://banner2.cleanpng.com/20180415/auq/kisspng-denmark-national-football-team-denmark-national-un-olympics-5ad3613d22f150.0433464015238024291431.jpg;0;0;0;0;0
4dae162a-56ea-4e99-8061-70ec3f30a2fd;SV Quack;https://logowik.com/content/uploads/images/spanish-national-football-team-new1707.logowik.com.webp;0;0;0;0;0
fcba3d35-013a-4ab6-9ab9-9fb938eff8a4;Inter Cocktail;https://p7.hiclipart.com/preview/233/745/240/football-logo-vector-blue-soccer-logo-thumbnail.jpg;0;0;0;0;0
3fd253a8-4951-47d0-9946-58d97ac21b95;Atletico Monte;https://i.pinimg.com/originals/bd/3b/13/bd3b13eb8c4168533e6779a3b46f3405.jpg;0;0;0;0;0
91d18efa-3173-4f7e-86f0-74332c69c8cd;Sporting Szczypior;https://logowik.com/content/uploads/images/austria-national-football-team3948.jpg;0;0;0;0;0
341a6fa0-6ecf-4eb4-8638-426eed4584f7;Vitesse Wiewiórki;https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/112022/sant.png?E_78Z1dzEY1Pm3CRIZx4yLl_4lcU5tmy&itok=P1FvWs-0;0;0;0;0;0
0194b2b8-b9f7-4c6f-8677-18ae7fd627b7;Olympique Kurczaków;https://w7.pngwing.com/pngs/531/129/png-transparent-fenerbahce-s-k-dream-league-soccer-galatasaray-s-k-logo-football-football-text-sport-sports-thumbnail.png;0;0;0;0;0
